ASTCLS,CODE,NAME,SYMBOLCODE,SYMBOLNAME,ISINCODE,QUANTITY,UNITCOST,MARKETRATE,ACCRUEDINTEREST,MARKETVALUE,GainLoss,GainLoss Percentage,POSITIONFLAG,ASONDATE
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,MUNDRAPORT,Adani Ports and Special Economic Zone Ltd,INE742F01042,14158,728.493950060506,694.35,0,9830607.3,-483410.044956644,-4.68692293980892,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,ASIANPAINT,Asian Paints Ltd,INE021A01026,3724,2523.43352799107,2861.4,0,10655853.6,1258587.14176126,13.3931196625571,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,UTIBANK,Axis Bank Ltd,INE238A01034,181273,722.557551062028,657.95,0,119268570.35,-11711604.603667,-8.9415093603363,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BAJAJ-AUTO,Bajaj Auto Ltd,INE917I01010,8336,4081.13254554665,3773.05,1167040,32619184.8,-2568176.09967684,-7.54894731078576,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BAJAJFINSV,Bajaj Finserv Limited,INE918I01018,4090,11917.778764649,12028.5,23324,49219889,452849.8525855,0.929042546748759,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BANKBARODA,Bank of Baroda,INE028A01039,1216,83.566017,99.45,3465.6,124396.8,19314.923328,19.0077062066988,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BERGEPAINT,Berger Paints India Ltd,INE463A01038,645,774.742838085271,592.1,0,381904.5,-117804.630565,-23.5746403976656,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BPCL,Bharat Petroleum Corporation Ltd,INE029A01011,62971,474.624593491717,321.3,0,20232582.3,-9655002.97676691,-32.3043929021332,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,CIPLA,Cipla Ltd,INE059A01026,34378,963.48481660867,945.6,0,32507836.8,-614844.225372857,-1.85626346158957,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,DABUR,Dabur India Ltd,INE016A01026,822,580.75425903893,542.95,0,446304.9,-31075.1009300005,-6.50951042554401,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,DRREDDY,Dr. Reddys Laboratories Ltd,INE089A01023,7739,5264.39207146309,4390,0,33974210,-6766920.24105286,-16.6095545239296,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,EICHERMOT,Eicher Motors Ltd,INE066A01021,9252,2661.45815137842,2907.95,0,26904353.4,2280542.58344689,9.2615338886287,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,GAIL,GAIL India Ltd,INE129A01019,1561,131.30851201025,133.55,0,208471.55,3498.96275199975,1.70703936510607,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,GRASIM,Grasim Industries Ltd,INE047A01021,25221,1509.08788784451,1369.65,0,34543942.65,-3516762.96932626,-9.23987853640984,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,HCLTECH,HCL Technologies Ltd,INE860A01027,72438,918.979304816578,986.6,0,71467330.8,4898307.91769672,7.35823917132918,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,HDFCBANK,HDFC Bank Ltd,INE040A01034,9295,1422.3853219804,1371.25,144072.5,12889841.25,-475302.817807772,-3.5950400492884,Long,06/07/2022
