,report_date,unique_id,quantity,average_unit_cost,market_rate,symbol_name,fund_id,instrument_type
47,2022-07-07,,13600.0,694.955993655,707.7,Aarti Industries - 28/07/2022,TB1,FUTURES
48,2022-07-07,,32500.0,679.295295219,701.05,Adani Ports and Special Economic Zone Ltd - 28/07/2022,TB1,FUTURES
49,2022-07-07,,20800.0,237.3480852525,251.25,Aditya Birla Fashion and Retail Ltd - 28/07/2022,TB1,FUTURES
50,2022-07-07,,5250.0,3789.318249788059,3923.85,Apollo Hospitals Enterprise - 28/07/2022,TB1,FUTURES
51,2022-07-07,,157500.0,183.999317114667,198.1,Apollo Tyres - 28/07/2022,TB1,FUTURES
52,2022-07-07,,26200.0,2720.931855557701,2900.75,Asian Paints Ltd - 28/07/2022,TB1,FUTURES
53,2022-07-07,,66000.0,655.987849503281,660.95,Axis Bank Ltd - 28/07/2022,TB1,FUTURES
54,2022-07-07,,25000.0,5542.12556175543,5867.35,Bajaj Finance Ltd - 28/07/2022,TB1,FUTURES
55,2022-07-07,,24200.0,572.732360905909,596.0,Berger Paints India Ltd - 28/07/2022,TB1,FUTURES
56,2022-07-07,,52000.0,642.284413838077,655.35,Bharat Forge Ltd - 28/07/2022,TB1,FUTURES
57,2022-07-07,,156750.0,686.099759112363,689.25,Bharti Airtel Ltd - 28/07/2022,TB1,FUTURES
58,2022-07-07,,170200.0,311.626060064594,322.65,Biocon Ltd - 28/07/2022,TB1,FUTURES
59,2022-07-07,,4600.0,3465.742355913139,3825.65,Britannia Industries Ltd - 28/07/2022,TB1,FUTURES
60,2022-07-07,,129600.0,185.5624423825,208.6,Canara Bank - 28/07/2022,TB1,FUTURES
61,2022-07-07,,15000.0,646.56796608,644.1,Cholamandalam Investments and Finance Ltd - 28/07/2022,TB1,FUTURES
62,2022-07-07,,134400.0,184.729667147143,186.2,Coal India Ltd - 28/07/2022,TB1,FUTURES
63,2022-07-07,,8250.0,3626.449005139637,3671.3,Divis Laboratories Ltd - 28/07/2022,TB1,FUTURES
64,2022-07-07,,2625.0,3713.670384217143,3711.65,Dixon Technologies India Ltd - 28/07/2022,TB1,FUTURES
65,2022-07-07,,2500.0,2089.958207979,2146.35,Dr. Lal Pathlabs Ltd - 28/07/2022,TB1,FUTURES
66,2022-07-07,,5250.0,2813.578605009375,2929.1,Eicher Motors Ltd - 28/07/2022,TB1,FUTURES
67,2022-07-07,,25300.0,387.937755797728,392.0,Glenmark Pharmaceuticals Ltd - 28/07/2022,TB1,FUTURES
68,2022-07-07,,29575.0,1208.65829936044,1311.1,Godrej Properties Ltd - 28/07/2022,TB1,FUTURES
69,2022-07-07,,172500.0,219.4228293,232.8,Gujarat State Petronet Ltd - 28/07/2022,TB1,FUTURES
70,2022-07-07,,256850.0,1351.030690543859,1397.05,HDFC Bank Ltd - 28/07/2022,TB1,FUTURES
71,2022-07-07,,58300.0,550.013136168201,557.1,HDFC Life Insurance Company Limited - 28/07/2022,TB1,FUTURES
72,2022-07-07,,32400.0,2237.37730195721,2483.15,Hindustan Unilever Ltd - 28/07/2022,TB1,FUTURES
73,2022-07-07,,10500.0,2226.860265919428,2255.15,Housing Development Finance Corp Ltd - 28/07/2022,TB1,FUTURES
74,2022-07-07,,27625.0,1124.361682756153,1279.8,ICICI Lombard General Insurance Company Ltd - 28/07/2022,TB1,FUTURES
75,2022-07-07,,255000.0,31.445520054706,34.4,IDFC First Bank Ltd - 28/07/2022,TB1,FUTURES
76,2022-07-07,,534400.0,273.466250104865,291.55,ITC Ltd - 28/07/2022,TB1,FUTURES
77,2022-07-07,,2550.0,3735.501890071765,3923.85,IndiaMART InterMESH Ltd - 28/07/2022,TB1,FUTURES
78,2022-07-07,,76500.0,814.249203358347,856.85,IndusInd Bank Ltd - 28/07/2022,TB1,FUTURES
79,2022-07-07,,21900.0,1477.116191570105,1504.7,Infosys Ltd - 28/07/2022,TB1,FUTURES
80,2022-07-07,,3000.0,1612.081895646,1695.85,InterGlobe Aviation Limited - 28/07/2022,TB1,FUTURES
81,2022-07-07,,103750.0,331.544906725301,351.15,Jindal Steel and Power Ltd - 28/07/2022,TB1,FUTURES
82,2022-07-07,,14000.0,325.685953517143,352.2,LIC Housing Finance Ltd - 28/07/2022,TB1,FUTURES
83,2022-07-07,,9000.0,1538.296938317,1590.0,Larsen and Toubro Ltd - 28/07/2022,TB1,FUTURES
84,2022-07-07,,30600.0,467.387021002059,491.15,Laurus Labs Limited - 28/07/2022,TB1,FUTURES
85,2022-07-07,,56000.0,172.40768904,185.9,Mahindra and Mahindra Financial Services Ltd - 28/07/2022,TB1,FUTURES
86,2022-07-07,,7700.0,1088.58426297857,1118.2,Mahindra and Mahindra Ltd - 28/07/2022,TB1,FUTURES
87,2022-07-07,,162000.0,90.359585413334,90.15,Manappuram Finance Ltd - 28/07/2022,TB1,FUTURES
88,2022-07-07,,38400.0,488.09051786625,500.5,Marico Ltd - 28/07/2022,TB1,FUTURES
89,2022-07-07,,9600.0,2960.378902010625,2891.45,MindTree Limited - 28/07/2022,TB1,FUTURES
90,2022-07-07,,235200.0,268.644293926326,280.75,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED - 28/07/2022,TB1,FUTURES
91,2022-07-07,,134000.0,109.119866529,110.15,NMDC Ltd - 28/07/2022,TB1,FUTURES
92,2022-07-07,,307800.0,141.231737251052,141.1,NTPC Ltd - 28/07/2022,TB1,FUTURES
93,2022-07-07,,560.0,18274.432860499288,18285.45,Nestle India Ltd - 28/07/2022,TB1,FUTURES
94,2022-07-07,,10300.0,15763.763669997425,16148.15,Nifty FNO SPOT - 28/07/2022,TB1,FUTURES
95,2022-07-07,,-2909095099.500053,1.0,1.0,Notional Amount Adj.,TB1,FUTURES
96,2022-07-07,,300300.0,147.596967146539,123.8,Oil and Natural Gas Corporation Ltd - 28/07/2022,TB1,FUTURES
97,2022-07-07,,7650.0,3463.627019895294,3385.45,Persistent Systems Ltd - 28/07/2022,TB1,FUTURES
98,2022-07-07,,221400.0,212.603384127073,213.5,Power Grid Corporation of India Ltd - 28/07/2022,TB1,FUTURES
99,2022-07-07,,19750.0,2587.850305062518,2396.7,Reliance Industries Ltd - 28/07/2022,TB1,FUTURES
100,2022-07-07,,28500.0,1064.743639294616,1129.15,SBI Life Insurance Company Ltd - 28/07/2022,TB1,FUTURES
101,2022-07-07,,9000.0,2069.44854328875,2081.6,SRF - 28/07/2022,TB1,FUTURES
102,2022-07-07,,1575.0,19286.52760108619,19821.7,Shree Cements - 28/07/2022,TB1,FUTURES
103,2022-07-07,,53200.0,833.470253822256,850.5,Sun Pharmaceuticals Industries Ltd - 28/07/2022,TB1,FUTURES
104,2022-07-07,,260775.0,417.340868622581,432.6,TATA Motors Right Issue - 28/07/2022,TB1,FUTURES
105,2022-07-07,,26000.0,796.406671999616,822.9,Tata Chemicals - 28/07/2022,TB1,FUTURES
106,2022-07-07,,300.0,3285.62528235225,3285.15,Tata Consultancy Services Ltd. - 28/07/2022,TB1,FUTURES
107,2022-07-07,,90000.0,735.917628154731,755.2,Tata Consumer Products Ltd - 28/07/2022,TB1,FUTURES
108,2022-07-07,,127500.0,877.568190083314,903.85,Tata Steel Ltd - 28/07/2022,TB1,FUTURES
109,2022-07-07,,80400.0,984.447330444363,995.15,Tech Mahindra Ltd - 28/07/2022,TB1,FUTURES
110,2022-07-07,,21000.0,1943.461948154714,2125.2,Titan Company Ltd - 28/07/2022,TB1,FUTURES
111,2022-07-07,,1500.0,2868.619601395,2955.45,Torrent Pharmaceuticals Ltd - 28/07/2022,TB1,FUTURES
